🤐	zipper-mouth face emoji	lips sealed, sealed lips, zip it	1f910
🤑	money-mouth face emoji	dollar sign eyes, money face, rich	1f911
🤒	face with thermometer emoji	covid-19, coronavirus, ill, sick	1f912
🤓	nerd face emoji	nerdy	1f913
🤔	thinking face emoji	chin thumb, thinker, throwing shade	1f914
🤕	face with head-bandage emoji	bandaged head, clumsy, injured	1f915
🤖	robot face emoji	android, robot	1f916
🤗	hugging face emoji	hug, hugging, hugs	1f917
🤘	sign of the horns emoji	devil fingers, heavy metal, rock on	1f918
🤙	call me hand emoji	phone hand, shaka	1f919
🤚	raised back of hand emoji	backhand	1f91a
🤛	left-facing fist emoji	left fist bump	1f91b
🤜	right-facing fist emoji	u+1f91c	1f91c
🤝	handshake emoji	shaking hands	1f91d
🤞	hand with index and middle fingers crossed emoji	fingers crossed, good luck	1f91e
🤟	i love you hand sign emoji	u+1f91f	1f91f
🤠	face with cowboy hat emoji	cowboy	1f920
🤡	clown face emoji	u+1f921	1f921
🤢	nauseated face emoji	disgust, vomit	1f922
🤣	rolling on the floor laughing emoji	rofl	1f923
🤤	drooling face emoji	drool	1f924
🤥	lying face emoji	liar, long nose, pinocchio	1f925
🤦	face palm emoji	frustration, disbelief, facepalm, hitting head, picard, smh	1f926
🤧	sneezing face emoji	gesundheit, covid-19, coronavirus	1f927
🤨	face with one eyebrow raised emoji	colbert, the rock	1f928
🤩	grinning face with star eyes emoji	excited, star eyes, starry eyed, wow face	1f929
🤪	grinning face with one large and one small eye emoji	crazy eyes, excited, wild	1f92a
🤫	face with finger covering closed lips emoji	hush, quiet, shh	1f92b
🤬	serious face with symbols covering mouth emoji	cursing, cussing, grawlix, swearing	1f92c
🤭	smiling face with smiling eyes and hand covering mouth emoji	u+1f92d	1f92d
🤮	face with open mouth vomiting emoji	spew, throwing up, vomit	1f92e
🤯	shocked face with exploding head emoji	mind blown	1f92f
🤰	pregnant woman emoji	pregnancy	1f930
🤱	breast-feeding emoji	breastfeeding	1f931
🤲	palms up together emoji	dua	1f932
🤳	selfie emoji	phone camera, selfie hand	1f933
🤴	prince emoji	u+1f934	1f934
🤵	man in tuxedo emoji	groom, man in suit	1f935
🤶	mother christmas emoji	mrs. claus, mrs claus	1f936
🤷	shrug emoji	shrug, shruggie	1f937
🤸	person doing cartwheel emoji	gymnastics, gymnast	1f938
🤹	juggling emoji	u+1f939	1f939
🤺	fencer emoji	fencing	1f93a
🤻	modern pentathlon 	u+1f93b	1f93b
🤼	wrestlers emoji	wrestling	1f93c
🤽	water polo emoji	u+1f93d	1f93d
🤾	handball emoji	u+1f93e	1f93e
🥀	wilted flower emoji	dead flower, drooping flower	1f940
🥁	drum with drumsticks emoji	u+1f941	1f941
🥂	clinking glasses emoji	celebration, formal toasting, champagne glasses, cheers	1f942
🥃	tumbler glass emoji	whisky, bourbon, liquor, rum, whiskey	1f943
🥄	spoon emoji	u+1f944	1f944
🥅	goal net emoji	u+1f945	1f945
🥆	rifle 	marksmanship, shooting, hunting	1f946
🥇	first place medal emoji	gold medal	1f947
🥈	second place medal emoji	silver medal	1f948
🥉	third place medal emoji	bronze medal	1f949
🥊	boxing glove emoji	u+1f94a	1f94a
🥋	martial arts uniform emoji	judo, karate, taekwondo	1f94b
🥌	curling stone emoji	u+1f94c	1f94c
🥐	croissant emoji	u+1f950	1f950
🥑	avocado emoji	u+1f951	1f951
🥒	cucumber emoji	gherkin, pickle	1f952
🥓	bacon emoji	rashers	1f953
🥔	potato emoji	baked potato, idaho potato	1f954
🥕	carrot emoji	u+1f955	1f955
🥖	baguette bread emoji	french bread	1f956
🥗	green salad emoji	salad	1f957
🥘	shallow pan of food emoji	paella, casserole	1f958
🥙	stuffed flatbread emoji	döner kebab, falafel, gyro, shawarma, doner kebab	1f959
🥚	egg emoji	chicken egg	1f95a
🥛	glass of milk emoji	milk	1f95b
🥜	peanuts emoji	nuts	1f95c
🥝	kiwifruit emoji	chinese gooseberry, kiwi	1f95d
🥞	pancakes emoji	hotcakes, crêpes, blini	1f95e
🥟	dumpling emoji	potsticker, gyooza, jiaozi, pierogi, empanada	1f95f
🥠	fortune cookie emoji	u+1f960	1f960
🥡	takeout box emoji	take-away box, oyster pail, chinese food box	1f961
🥢	chopsticks emoji	kuaizi, hashi, jeotgarak	1f962
🥣	bowl with spoon emoji	cereal bowl	1f963
🥤	cup with straw emoji	milkshake, smoothie, soda pop, soft drink	1f964
🥥	coconut emoji	cocoanut	1f965
🥦	broccoli emoji	u+1f966	1f966
🥧	pie emoji	u+1f967	1f967
🥨	pretzel emoji	u+1f968	1f968
🥩	cut of meat emoji	porkchop, chop, steak, meat	1f969
🥪	sandwich emoji	u+1f96a	1f96a
🥫	canned food emoji	can of food, tin can, tinned food	1f96b
🦀	crab emoji	u+1f980	1f980
🦁	lion face emoji	u+1f981	1f981
🦂	scorpion emoji	u+1f982	1f982
🦃	turkey emoji	thanksgiving turkey, wild turkey	1f983
🦄	unicorn face emoji	unicorn	1f984
🦅	eagle emoji	bald eagle	1f985
🦆	duck emoji	u+1f986	1f986
🦇	bat emoji	batman	1f987
🦈	shark emoji	great white shark	1f988
🦉	owl emoji	u+1f989	1f989
🦊	fox face emoji	fox	1f98a
🦋	butterfly emoji	u+1f98b	1f98b
🦌	deer emoji	buck, reindeer, stag	1f98c
🦍	gorilla emoji	u+1f98d	1f98d
🦎	lizard emoji	gecko	1f98e
🦏	rhinoceros emoji	rhino	1f98f
🦐	shrimp emoji	prawn	1f990
🦑	squid emoji	u+1f991	1f991
🦒	giraffe face emoji	u+1f992	1f992
🦓	zebra face emoji	u+1f993	1f993
🦔	hedgehog emoji	u+1f994	1f994
🦕	sauropod emoji	brachiosaurus, brontosaurus, dinosaur	1f995
🦖	t-rex emoji	tyrannosaurus rex	1f996
🦗	cricket emoji	grasshopper	1f997
🧀	cheese wedge emoji	cheese	1f9c0
🧐	face with monocle emoji	u+1f9d0	1f9d0
🧑	adult emoji	u+1f9d1	1f9d1
🧒	child emoji	gender neutral child	1f9d2
🧓	older adult emoji	gender neutral older adult	1f9d3
🧔	bearded person emoji	bearded person	1f9d4
🧕	person with headscarf emoji	woman's headscarf, hijab	1f9d5
🧖	person in steamy room emoji	sauna, steam room	1f9d6
🧗	person climbing emoji	u+1f9d7	1f9d7
🧘	person in lotus position emoji	yoga, meditation	1f9d8
🧙	mage emoji	wizard, witch, sorcerer, sorceress	1f9d9
🧚	fairy emoji	u+1f9da	1f9da
🧛	vampire emoji	u+1f9db	1f9db
🧜	merperson emoji	mermaid, merman, merboy, mergirl	1f9dc
🧝	elf emoji	legolas	1f9dd
🧞	genie emoji	djinni, jinni	1f9de
🧟	zombie emoji	u+1f9df	1f9df
🧠	brain emoji	u+1f9e0	1f9e0
🧡	orange heart emoji	u+1f9e1	1f9e1
🧢	billed cap emoji	baseball cap	1f9e2
🧣	scarf emoji	u+1f9e3	1f9e3
🧤	gloves emoji	u+1f9e4	1f9e4
🧥	coat emoji	u+1f9e5	1f9e5
🧦	socks emoji	u+1f9e6	1f9e6
